08:51:21: Edge Data
08:51:21: ---------
08:51:21: Triangle 0 = {indexSet=0, vertexSet=0, v0=0, v1=1, v2=2}
08:51:21: Triangle 1 = {indexSet=0, vertexSet=0, v0=0, v1=2, v2=3}
08:51:21: Triangle 2 = {indexSet=0, vertexSet=0, v0=4, v1=5, v2=6}
08:51:21: Triangle 3 = {indexSet=0, vertexSet=0, v0=4, v1=6, v2=7}
08:51:21: Triangle 4 = {indexSet=0, vertexSet=0, v0=8, v1=0, v2=3}
08:51:21: Triangle 5 = {indexSet=0, vertexSet=0, v0=8, v1=3, v2=9}
08:51:21: Triangle 6 = {indexSet=0, vertexSet=0, v0=10, v1=4, v2=7}
08:51:21: Triangle 7 = {indexSet=0, vertexSet=0, v0=10, v1=7, v2=11}
08:51:21: Triangle 8 = {indexSet=0, vertexSet=0, v0=12, v1=13, v2=0}
08:51:21: Triangle 9 = {indexSet=0, vertexSet=0, v0=12, v1=0, v2=8}
08:51:21: Triangle 10 = {indexSet=0, vertexSet=0, v0=14, v1=15, v2=4}
08:51:21: Triangle 11 = {indexSet=0, vertexSet=0, v0=14, v1=4, v2=10}
08:51:21: Triangle 12 = {indexSet=0, vertexSet=0, v0=16, v1=17, v2=13}
08:51:21: Triangle 13 = {indexSet=0, vertexSet=0, v0=16, v1=13, v2=12}
08:51:21: Triangle 14 = {indexSet=0, vertexSet=0, v0=13, v1=18, v2=1}
08:51:21: Triangle 15 = {indexSet=0, vertexSet=0, v0=13, v1=1, v2=0}
08:51:21: Triangle 16 = {indexSet=0, vertexSet=0, v0=19, v1=20, v2=21}
08:51:21: Triangle 17 = {indexSet=0, vertexSet=0, v0=19, v1=21, v2=22}
08:51:21: Triangle 18 = {indexSet=0, vertexSet=0, v0=23, v1=24, v2=25}
08:51:21: Triangle 19 = {indexSet=0, vertexSet=0, v0=23, v1=25, v2=26}
08:51:21: Triangle 20 = {indexSet=0, vertexSet=0, v0=22, v1=21, v2=27}
08:51:21: Triangle 21 = {indexSet=0, vertexSet=0, v0=22, v1=27, v2=28}
08:51:21: Triangle 22 = {indexSet=0, vertexSet=0, v0=26, v1=25, v2=29}
08:51:21: Triangle 23 = {indexSet=0, vertexSet=0, v0=26, v1=29, v2=30}
08:51:21: Triangle 24 = {indexSet=0, vertexSet=0, v0=31, v1=16, v2=12}
08:51:21: Triangle 25 = {indexSet=0, vertexSet=0, v0=31, v1=12, v2=32}
08:51:21: Triangle 26 = {indexSet=0, vertexSet=0, v0=28, v1=27, v2=33}
08:51:21: Triangle 27 = {indexSet=0, vertexSet=0, v0=28, v1=33, v2=34}
08:51:21: Triangle 28 = {indexSet=0, vertexSet=0, v0=35, v1=36, v2=14}
08:51:21: Triangle 29 = {indexSet=0, vertexSet=0, v0=35, v1=14, v2=37}
08:51:21: Triangle 30 = {indexSet=0, vertexSet=0, v0=38, v1=39, v2=30}
08:51:21: Triangle 31 = {indexSet=0, vertexSet=0, v0=38, v1=30, v2=29}
08:51:21: Triangle 32 = {indexSet=0, vertexSet=0, v0=32, v1=12, v2=8}
08:51:21: Triangle 33 = {indexSet=0, vertexSet=0, v0=32, v1=8, v2=40}
08:51:21: Triangle 34 = {indexSet=0, vertexSet=0, v0=41, v1=28, v2=34}
08:51:21: Triangle 35 = {indexSet=0, vertexSet=0, v0=41, v1=34, v2=42}
08:51:21: Triangle 36 = {indexSet=0, vertexSet=0, v0=37, v1=14, v2=10}
08:51:21: Triangle 37 = {indexSet=0, vertexSet=0, v0=37, v1=10, v2=43}
08:51:21: Triangle 38 = {indexSet=0, vertexSet=0, v0=44, v1=30, v2=39}
08:51:21: Triangle 39 = {indexSet=0, vertexSet=0, v0=44, v1=39, v2=45}
08:51:21: Triangle 40 = {indexSet=0, vertexSet=0, v0=46, v1=23, v2=26}
08:51:21: Triangle 41 = {indexSet=0, vertexSet=0, v0=46, v1=26, v2=47}
08:51:21: Triangle 42 = {indexSet=0, vertexSet=0, v0=40, v1=8, v2=9}
08:51:21: Triangle 43 = {indexSet=0, vertexSet=0, v0=40, v1=9, v2=48}
08:51:21: Triangle 44 = {indexSet=0, vertexSet=0, v0=49, v1=22, v2=28}
08:51:21: Triangle 45 = {indexSet=0, vertexSet=0, v0=49, v1=28, v2=41}
08:51:21: Triangle 46 = {indexSet=0, vertexSet=0, v0=43, v1=10, v2=11}
08:51:21: Triangle 47 = {indexSet=0, vertexSet=0, v0=43, v1=11, v2=50}
08:51:21: Triangle 48 = {indexSet=0, vertexSet=0, v0=47, v1=26, v2=30}
08:51:21: Triangle 49 = {indexSet=0, vertexSet=0, v0=47, v1=30, v2=44}
08:51:21: Triangle 50 = {indexSet=0, vertexSet=0, v0=51, v1=46, v2=47}
08:51:21: Triangle 51 = {indexSet=0, vertexSet=0, v0=51, v1=47, v2=52}
